model,accuracy,precision,recall,f1_score
Logistic Regression,0.852,0.7647058823529411,0.4727272727272727,0.5842696629213483
SVM,0.836,0.6590909090909091,0.5272727272727272,0.5858585858585859
Neural Network,0.792,0.5263157894736842,0.5454545454545454,0.5357142857142857
